record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags
339,"75% Comm | The ""Anti-Pill"" Mental Health Funnel | Massive Co",Massive Co,HIGH,Member area and video courses,PlanetaVida,19.0,percent,75.0,UNKNOWN,16.67,UNKNOWN,UNKNOWN,Request promotion,NO,439.0,2025-06-11,education-courses,SUPPLEMENT,4,
340,Turn Your Idea into a 5-Figure Online Business,Turn Your Idea into a 5-Figure Online Business,LOW,E-books,HeikoBoos,31.59,percent,50.0,UNKNOWN,15.79,UNKNOWN,UNKNOWN,Promote now,YES,901.0,2024-03-06,make-money-online,NONE,4,
341,Earn Big Promoting the Notion Pro AI System – Resell Rights,Resell Rights,HIGH,Downloads,El_patronship,20.47,percent,40.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,402.0,2025-07-18,ai-software,MAKE_MONEY,4,
342,Boost Your Immune System Naturally,Boost Your Immune System Naturally,HIGH,E-books,emrkts,29.25,percent,70.0,UNKNOWN,20.47,UNKNOWN,UNKNOWN,Promote now,YES,591.0,2025-01-10,health-supplement,SUPPLEMENT,4,
343,Heal Your Parent Wound,Heal Your Parent Wound,HIGH,Member area and video courses,DrGhazalehBailey,77.21,percent,30.0,UNKNOWN,23.16,UNKNOWN,UNKNOWN,Promote now,YES,670.0,2024-10-23,education-courses,MEDICAL,4,
344,Manifestation Mastery - Rewrite your mind for desired life,Manifestation Mastery,HIGH,E-books,AspireVerse,5.84,percent,75.0,UNKNOWN,4.38,UNKNOWN,UNKNOWN,Promote now,YES,316.0,2025-10-12,spirituality-manifest,MIRACLE_CLAIM,4,
345,The Anti-Anxiety Formula: A Proven Winner in Mental Health!,The Anti-Anxiety Formula: A Proven Winner in Mental Health,LOW,E-books,emrkts,19.89,percent,70.0,UNKNOWN,13.92,UNKNOWN,UNKNOWN,Promote now,YES,815.0,2024-05-31,mental-wellbeing,SUPPLEMENT,4,
346,28 Day Military Workout Program,28 Day Military Workout Program,HIGH,E-books,aariann,23.4,percent,50.0,UNKNOWN,11.7,UNKNOWN,UNKNOWN,Promote now,YES,317.0,2025-10-11,fitness,NONE,4,
347,Home Workout Bible - Dominate Home Fitness - Huge $$$$$,Home Workout Bible,HIGH,E-books,emrkts,19.89,percent,70.0,UNKNOWN,13.92,UNKNOWN,UNKNOWN,Promote now,YES,838.0,2024-05-08,fitness,NONE,4,
348,TikTok Ad Strategy Accelerator,TikTok Ad Strategy Accelerator,HIGH,Member area and video courses,TopCourseCreator,113.48,percent,50.0,UNKNOWN,56.74,UNKNOWN,UNKNOWN,Promote now,YES,389.0,2025-07-31,education-courses,NONE,4,
349,Dog Potty Training in 7 Days | Earn 75% on Proven System,Dog Potty Training in 7 Days,MEDIUM,E-books,darrelltee,140.39,percent,75.0,UNKNOWN,105.29,UNKNOWN,UNKNOWN,Promote now,YES,324.0,2025-10-04,fitness,MAKE_MONEY,4,
350,The AI Side Hustle System | Earn 75% Commissions,The AI Side Hustle System,HIGH,E-books,darrelltee,178.99,percent,75.0,UNKNOWN,134.25,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,make-money-online,MAKE_MONEY,4,
351,The Sleep Reset: 14 Nights to Rebooting Your Rest,The Sleep Reset: 14 Nights to Rebooting Your Rest,LOW,Downloads,UsefulPrograms,35.09,percent,60.0,UNKNOWN,21.05,UNKNOWN,UNKNOWN,Promote now,YES,889.0,2024-03-18,mental-wellbeing,NONE,4,
352,"Feng Shui for Modern Living – Harmony, Health, Wealth",Feng Shui for Modern Living,HIGH,E-books,secondwavetech,4.56,percent,80.0,UNKNOWN,3.65,UNKNOWN,UNKNOWN,Promote now,YES,342.0,2025-09-16,forex-crypto-trading,FINANCIAL,4,
353,Chair Yoga Exercise for Beginners Bundle,Chair Yoga Exercise for Beginners Bundle,MEDIUM,E-books,BookMuffin,23.4,percent,50.0,UNKNOWN,11.7,UNKNOWN,UNKNOWN,Promote now,YES,559.0,2025-02-11,fitness,NONE,4,
