record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags,econ_score,sc_payout,sc_commission,sc_conversion,sc_retention,sc_promotable,sc_effort_worth,sc_stability
66,Tesla MedBed X,Tesla MedBed X,HIGH,Deliverable,TeslaMedbedX,2440.26,percent,60.0,UNKNOWN,928.67,UNKNOWN,10.8,Promote now,YES,279.0,2025-11-18,health-supplement,SUPPLEMENT,1,PCT_INFERRED,81.32,25.0,9.6,8.0,14.22,10.0,13.0,1.5
80,Help Others Overcome Their Acid Refluy | 45% Commission,Acid Refluy,HIGH,Member area and video courses,Refluxsummit,113.48,percent,60.0,UNKNOWN,49.43,7.0,5.19,Promote now,YES,569.0,2025-02-01,education-courses,NONE,1,,81.29,19.54,9.6,7.78,18.38,10.0,13.0,3.0
132,Reflux Online Summit | Take Control of Your Acid Reflux,Reflux Online Summit,HIGH,Member area and video courses,Refluxsummit,89.32,percent,60.0,UNKNOWN,49.43,7.0,5.19,Promote now,YES,569.0,2025-02-01,education-courses,MEDICAL,2,,81.29,19.54,9.6,7.78,18.38,10.0,13.0,3.0
44,Fearless Phone Fanatic (For Cold Calling),Fearless Phone Fanatic,HIGH,Downloads,dezatell,63.77,flat,UNKNOWN,30.0,21.73,37.0,8.22,Promote now,YES,452.0,2025-05-29,other,NONE,1,COMMISSION_FLAT,81.23,15.56,7.53,20.0,16.13,10.0,9.0,3.0
125,Promote the Ultimate Digital Marketing Guide eBook now!,the Ultimate Digital Marketing Guide eBook,MEDIUM,E-books,Fitlifesolutions,37.0,percent,80.0,UNKNOWN,21.59,16.0,11.29,Promote now,YES,766.0,2024-07-19,other,NONE,2,,81.17,15.53,12.0,17.78,13.86,10.0,9.0,3.0
133,Scorpio Scalper,Scorpio Scalper,HIGH,Software,altrasoftware,115.5,percent,65.0,UNKNOWN,61.57,7.0,5.92,Promote now,YES,183.0,2026-02-22,ai-software,NONE,2,,81.13,20.61,10.4,7.78,17.84,10.0,13.0,1.5
18,Blood Sugar Blaster,Blood Sugar Blaster,HIGH,Supplements - health,premvitality,193.4,percent,60.0,UNKNOWN,133.52,7.0,12.13,Promote now,YES,2014.0,2021-02-17,health-supplement,SUPPLEMENT|MEDICAL,1,,81.04,24.42,9.6,7.78,13.24,10.0,13.0,3.0
35,SPARTAMAX Male Enhancement Gummies | High EPC and Commission,SPARTAMAX Male Enhancement Gummies,HIGH,Deliverable,midasman88,193.01,percent,65.0,UNKNOWN,148.1,4.0,7.44,Promote now,YES,319.0,2025-10-09,health-supplement,SUPPLEMENT,1,,80.99,24.94,10.4,4.44,16.71,10.0,13.0,1.5
38,Earn 60% Commission Promoting Advanced Collagen Plus!,Advanced Collagen Plus,HIGH,Supplements - health,soundview,145.27,percent,60.0,UNKNOWN,116.97,3.0,5.5,Promote now,YES,671.0,2024-10-22,health-supplement,SUPPLEMENT|MAKE_MONEY,1,,80.85,23.77,9.6,3.33,18.15,10.0,13.0,3.0
5,NEW: The Self-Sufficient Backyard,The Self-Sufficient Backyard,HIGH,Book (printed),sbackyard,51.8,percent,75.0,UNKNOWN,27.18,9.0,1.28,Promote now,YES,1988.0,2021-03-15,survival-preparedness,SURVIVAL_FEAR,1,,80.64,16.64,12.0,10.0,20.0,10.0,9.0,3.0
39,Midas Manifestation System,Midas Manifestation System,HIGH,Member area and video courses,midasman88,172.01,percent,75.0,UNKNOWN,116.24,3.0,9.26,Promote now,YES,1586.0,2022-04-21,spirituality-manifest,MIRACLE_CLAIM,1,,80.44,23.74,12.0,3.33,15.36,10.0,13.0,3.0
57,TonicGreens,TonicGreens,HIGH,Supplements - health,tonicgreens,189.48,percent,60.0,UNKNOWN,84.62,5.0,7.83,Promote now,YES,1285.0,2023-02-16,health-supplement,SUPPLEMENT,1,,79.75,22.17,9.6,5.56,16.42,10.0,13.0,3.0
135,Start Promoting the JointVive Today!,Start Promoting the JointVive Today,HIGH,Supplements - health,zenmavibe,212.13,percent,65.0,UNKNOWN,89.2,6.0,10.78,Promote now,YES,453.0,2025-05-28,health-supplement,SUPPLEMENT,2,,79.74,22.43,10.4,6.67,14.24,10.0,13.0,3.0
53,Pep Tonic,Pep Tonic,HIGH,Supplements - health,soundview,147.36,percent,60.0,UNKNOWN,47.81,7.0,7.31,Promote now,YES,410.0,2025-07-10,health-supplement,SUPPLEMENT,1,,79.56,19.37,9.6,7.78,16.81,10.0,13.0,3.0
40,CaviArgan,CaviArgan,HIGH,Deliverable,koshea76,114.02,percent,65.0,UNKNOWN,87.66,2.0,1.78,Promote now,YES,341.0,2025-09-17,health-supplement,SUPPLEMENT,1,,79.47,22.35,10.4,2.22,20.0,10.0,13.0,1.5
309,Kidney Solution,Kidney Solution,HIGH,Downloads,Kidneycoach,87.0,percent,75.0,UNKNOWN,49.38,7.0,11.17,Promote now,YES,971.0,2023-12-27,health-supplement,SUPPLEMENT|MEDICAL,4,PRICE_APPROX,79.26,19.53,12.0,7.78,13.95,10.0,13.0,3.0
83,Alpha Drive 24,Alpha Drive 24,HIGH,Supplements - health,alphadrive24,144.2,percent,70.0,UNKNOWN,133.8,6.0,15.45,Promote now,YES,886.0,2024-03-21,health-supplement,SUPPLEMENT,1,,79.08,24.43,11.2,6.67,10.78,10.0,13.0,3.0
90,EchoXen,EchoXen,HIGH,Supplements - health,RM7866,244.66,percent,70.0,UNKNOWN,106.93,3.0,9.57,Promote now,YES,420.0,2025-06-30,health-supplement,SUPPLEMENT,1,,78.99,23.33,11.2,3.33,15.13,10.0,13.0,3.0
86,ProstaPure 24,ProstaPure 24,HIGH,Supplements - health,alphadrive24,143.36,percent,75.0,UNKNOWN,133.65,5.0,15.22,Promote now,YES,825.0,2024-05-21,health-supplement,SUPPLEMENT,1,,78.93,24.43,12.0,5.56,10.95,10.0,13.0,3.0
127,Silence Tinnitus and Hearing Issues with Zeneara!,Silence Tinnitus and Hearing Issues with Zeneara,MEDIUM,Supplements - health,Nutraville,205.56,percent,60.0,UNKNOWN,70.02,9.0,13.71,Promote now,YES,923.0,2024-02-13,health-supplement,SUPPLEMENT|MEDICAL,2,,78.91,21.24,9.6,10.0,12.07,10.0,13.0,3.0
325,The Trained Eye Program,The Trained Eye Program,HIGH,Member area and video courses,DenisTheMoneyMenace,230.47,percent,70.0,UNKNOWN,161.33,UNKNOWN,UNKNOWN,Promote now,YES,584.0,2025-01-17,education-courses,NONE,4,,78.2,25.0,11.2,8.0,8.0,10.0,13.0,3.0
